route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
63_2,FULLW,63_2_PM_3,,,,shape_2568
63_2,FULLW,63_2_PM_4,,,,shape_2569
63_2,FULLW,63_2_PM_5,,,,shape_2570
63_2,FULLW,63_2_PM_6,,,,shape_2571
63_2,FULLW,63_2_PM_7,,,,shape_2572
63_2,FULLW,63_2_PM_8,,,,shape_2573
63_2,FULLW,63_2_PM_9,,,,shape_2574
63_2,FULLW,63_2_PM_10,,,,shape_2575
63_2,FULLW,63_2_PM_11,,,,shape_2576
63_2,FULLW,63_2_PM_12,,,,shape_2577
63_2,FULLW,63_2_PM_13,,,,shape_2578
63_2,FULLW,63_2_PM_14,,,,shape_2579
64_1,FULLW,64_1_PM_1,,,,shape_2580
64_1,FULLW,64_1_PM_2,,,,shape_2581
64_1,FULLW,64_1_PM_3,,,,shape_2582
64_1,FULLW,64_1_PM_4,,,,shape_2583
64_1,FULLW,64_1_PM_5,,,,shape_2584
64_1,FULLW,64_1_PM_6,,,,shape_2585
64_1,FULLW,64_1_PM_7,,,,shape_2586
64_1,FULLW,64_1_PM_8,,,,shape_2587
64_1,FULLW,64_1_PM_9,,,,shape_2588
64_1,FULLW,64_1_PM_10,,,,shape_2589
64_1,FULLW,64_1_PM_11,,,,shape_2590
64_1,FULLW,64_1_PM_12,,,,shape_2591
64_1,FULLW,64_1_PM_13,,,,shape_2592
64_1,FULLW,64_1_PM_14,,,,shape_2593
64_2,FULLW,64_2_PM_1,,,,shape_2594
64_2,FULLW,64_2_PM_2,,,,shape_2595
64_2,FULLW,64_2_PM_3,,,,shape_2596
64_2,FULLW,64_2_PM_4,,,,shape_2597
64_2,FULLW,64_2_PM_5,,,,shape_2598
64_2,FULLW,64_2_PM_6,,,,shape_2599
64_2,FULLW,64_2_PM_7,,,,shape_2600
64_2,FULLW,64_2_PM_8,,,,shape_2601
64_2,FULLW,64_2_PM_9,,,,shape_2602
64_2,FULLW,64_2_PM_10,,,,shape_2603
64_2,FULLW,64_2_PM_11,,,,shape_2604
64_2,FULLW,64_2_PM_12,,,,shape_2605
64_2,FULLW,64_2_PM_13,,,,shape_2606
64_2,FULLW,64_2_PM_14,,,,shape_2607
65_1,FULLW,65_1_PM_1,,,,shape_2608
65_1,FULLW,65_1_PM_2,,,,shape_2609
65_1,FULLW,65_1_PM_3,,,,shape_2610
65_1,FULLW,65_1_PM_4,,,,shape_2611
65_1,FULLW,65_1_PM_5,,,,shape_2612
65_1,FULLW,65_1_PM_6,,,,shape_2613
65_1,FULLW,65_1_PM_7,,,,shape_2614
65_1,FULLW,65_1_PM_8,,,,shape_2615
65_1,FULLW,65_1_PM_9,,,,shape_2616
65_1,FULLW,65_1_PM_10,,,,shape_2617
65_1,FULLW,65_1_PM_11,,,,shape_2618
65_1,FULLW,65_1_PM_12,,,,shape_2619
65_1,FULLW,65_1_PM_13,,,,shape_2620
65_1,FULLW,65_1_PM_14,,,,shape_2621
65_2,FULLW,65_2_PM_1,,,,shape_2622
65_2,FULLW,65_2_PM_2,,,,shape_2623
65_2,FULLW,65_2_PM_3,,,,shape_2624
65_2,FULLW,65_2_PM_4,,,,shape_2625
65_2,FULLW,65_2_PM_5,,,,shape_2626
65_2,FULLW,65_2_PM_6,,,,shape_2627
65_2,FULLW,65_2_PM_7,,,,shape_2628
65_2,FULLW,65_2_PM_8,,,,shape_2629
65_2,FULLW,65_2_PM_9,,,,shape_2630
65_2,FULLW,65_2_PM_10,,,,shape_2631
65_2,FULLW,65_2_PM_11,,,,shape_2632
65_2,FULLW,65_2_PM_12,,,,shape_2633
65_2,FULLW,65_2_PM_13,,,,shape_2634
65_2,FULLW,65_2_PM_14,,,,shape_2635
72_1,FULLW,72_1_PM_1,,,,shape_2636
72_1,FULLW,72_1_PM_2,,,,shape_2637
72_1,FULLW,72_1_PM_3,,,,shape_2638
72_1,FULLW,72_1_PM_4,,,,shape_2639
72_1,FULLW,72_1_PM_5,,,,shape_2640
72_1,FULLW,72_1_PM_6,,,,shape_2641
72_1,FULLW,72_1_PM_7,,,,shape_2642
72_1,FULLW,72_1_PM_8,,,,shape_2643
72_1,FULLW,72_1_PM_9,,,,shape_2644
72_1,FULLW,72_1_PM_10,,,,shape_2645
72_1,FULLW,72_1_PM_11,,,,shape_2646
72_1,FULLW,72_1_PM_12,,,,shape_2647
72_1,FULLW,72_1_PM_13,,,,shape_2648
72_1,FULLW,72_1_PM_14,,,,shape_2649
72_2,FULLW,72_2_PM_1,,,,shape_2650
72_2,FULLW,72_2_PM_2,,,,shape_2651
72_2,FULLW,72_2_PM_3,,,,shape_2652
72_2,FULLW,72_2_PM_4,,,,shape_2653
72_2,FULLW,72_2_PM_5,,,,shape_2654
72_2,FULLW,72_2_PM_6,,,,shape_2655
72_2,FULLW,72_2_PM_7,,,,shape_2656
72_2,FULLW,72_2_PM_8,,,,shape_2657
72_2,FULLW,72_2_PM_9,,,,shape_2658
72_2,FULLW,72_2_PM_10,,,,shape_2659
72_2,FULLW,72_2_PM_11,,,,shape_2660
72_2,FULLW,72_2_PM_12,,,,shape_2661
72_2,FULLW,72_2_PM_13,,,,shape_2662
72_2,FULLW,72_2_PM_14,,,,shape_2663
74_1,FULLW,74_1_PM_1,,,,shape_2664
74_1,FULLW,74_1_PM_2,,,,shape_2665
74_1,FULLW,74_1_PM_3,,,,shape_2666
